FNR,STATUS,NAME,SITZ,RECHTSFORM_CODE,RECHTSFORM_TEXT,GERICHT_CODE,GERICHT_TEXT
088387g,gelöscht,""" K & K - Holding Kaman-Kovanda Vermögensverwaltung-Beteiligungs-",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
109452i,gelöscht,""" P 2 "" Disco Gesellschaft m.b.H. in Liqu.",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
064700y,gelöscht,"- public golf - Golfplatz Projektierungs-, Errichtungs- und",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
465679y,,@ Trade Austria GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
188410z,gelöscht,""" V a s t c h e m"" Handelsgesellschaft m.b.H. in Liqu.",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
140511i,gelöscht,""" WERCE-S"" Bau GmbH",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
391025m,gelöscht,A & A Bauträger GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
289554s,gelöscht,A & A Beteiligungsverwaltungs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
292331z,gelöscht,A & A BS GmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
215929v,gelöscht,A & A Export-Import Handelsges.m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
528331h,,A & A GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
615239p,,A. & A. Goga Holding GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
066389g,gelöscht,A & A Handels- und Finanzdienst- leistungsgesellschaft m.b.H. in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
046683b,gelöscht,A & A Immobilien Vermietung & Verpachtung,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
534788d,,A & A Joy Reality GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
131278g,,A & A Liegenschaftsentwicklung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
113937f,gelöscht,A. & A. Modewaren Handels- gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
278584h,,A & A Vales GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
209831a,gelöscht,A & B Beteiligungsverwaltung eins GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
209833d,gelöscht,A & B Beteiligungsverwaltung zwei GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
